W_S,S,S_wet,S_vert,S_orizz,b,lambda,c_root,c_tip,MAC,AR,t_c,sweep25,V_fuel,M,W_fuel,W_block_fuel,E_crociera,CD,Cd0,Cdi,Cdw,CL_crociera,CL_max,T,T_W,WTO,OEW,W_wing,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,ADP,flight_cost,maintenance_cost,DOC,PREE
600,141.37,289.66,25.45,35.34,35.67,0.23,7.28,1.67,5.06,9,0.1,25,24543.67,0.76,19634.94,16843.52,16.09,0.034526188,0.021668847,0.012347253,0.000510088,0.555637768,2.485186583,25956.45,0.31,84831.72,43916.78,8568.67,1492.85,3427.5,5449.99,710.67,1493.39,84.32,4953.12,1036.18,0.042494397,0.473772707
600,141.54,290.01,25.48,35.38,35.69,0.27,7.06,1.91,4.97,9,0.1,25,24546.18,0.76,19636.95,16845.58,16.12,0.034471658,0.021668703,0.012292867,0.000510088,0.555637768,2.485186583,25928.03,0.31,84934.61,44017.66,8667.21,1494.66,3432.02,5443.74,711.08,1495.17,84.43,4953.98,1037.21,0.042507802,0.473714789
600,141.74,290.43,25.51,35.44,35.72,0.31,6.84,2.12,4.9,9,0.1,25,24566.49,0.76,19653.19,16859.7,16.13,0.034441367,0.021669409,0.01226187,0.000510088,0.555637768,2.485186583,25931.01,0.3,85057.66,44124.47,8763.06,1496.82,3437.42,5444.39,711.57,1497.31,84.57,4956.4,1038.5,0.042534082,0.473317983
600,140.5,287.89,25.29,35.13,35.56,0.23,7.26,1.67,5.05,9,0.1,20,24591.73,0.76,19673.38,16874.1,15.91,0.03492579,0.021694938,0.011908587,0.001322265,0.555637768,2.576731135,25328.6,0.3,84322.97,43369.59,8228.04,1483.74,3404.71,5311.91,684.5,1484.4,83.4,4953.75,1025.96,0.042426307,0.472914181
600,140.65,288.19,25.32,35.16,35.58,0.27,7.04,1.9,4.96,9,0.1,20,24592.23,0.76,19673.78,16874.74,15.93,0.034874947,0.021696549,0.011856134,0.001322265,0.555637768,2.576731135,25297.9,0.3,84413.34,43459.56,8317.42,1485.29,3408.58,5305.16,684.85,1485.92,83.5,4954.36,1026.85,0.042436975,0.472896191
600,140.83,288.57,25.35,35.21,35.6,0.31,6.83,2.12,4.88,9,0.1,20,24610.7,0.76,19688.56,16887.58,15.95,0.034847037,0.021698535,0.011826237,0.001322265,0.555637768,2.576731135,25298.26,0.3,84524.83,43556.27,8404.75,1487.24,3413.46,5305.24,685.28,1487.85,83.62,4956.56,1028,0.04246075,0.472536508
650,128.97,264.25,23.21,32.24,34.07,0.23,7,1.61,4.87,9,0.1,20,24794.23,0.76,19835.39,17009.05,15.6,0.038587862,0.022930582,0.01397605,0.001681231,0.601940915,2.576731135,26249.12,0.31,83849.78,42734.39,7686.06,1361.91,3383.88,5514.43,657.04,1364.19,82.95,4967.05,1023.8,0.042505341,0.469162025
650,129.13,264.59,23.24,32.28,34.09,0.27,6.78,1.83,4.78,9,0.1,20,24802.77,0.76,19842.21,17015.17,15.62,0.038536527,0.022940806,0.01391449,0.001681231,0.601940915,2.576731135,26282.77,0.31,83959.77,42837.55,7773.07,1363.66,3388.61,5521.84,657.44,1365.92,83.09,4968.43,1025.23,0.042525319,0.468993297
650,129.31,264.97,23.28,32.33,34.12,0.31,6.58,2.04,4.71,9,0.1,20,24825.11,0.76,19860.09,17030.64,15.63,0.038508268,0.022947634,0.013879404,0.001681231,0.601940915,2.576731135,26320.03,0.31,84079.36,42939.27,7856.89,1365.59,3393.84,5530.05,657.89,1367.82,83.23,4970.99,1026.66,0.04255365,0.468567176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,169.28,351.25,30.47,42.32,34.42,0.31,8.52,2.64,6.1,7,0.15,20,42643.48,0.8,34114.78,29110.9,9.09,0.055148091,0.021691383,0.0123367,0.021120009,0.501463086,2.576731135,34630.5,0.34,101590.79,46196.01,7630.11,1787.62,4164.53,7377.87,663.57,1784.23,92.53,6764.69,1126.64,0.053311672,0.274124112
650,156.04,323.78,28.09,39.01,33.05,0.27,8.49,2.29,5.98,7,0.15,20,43182.77,0.8,34546.22,29480.78,8.92,0.060927874,0.022839897,0.014507066,0.023580911,0.543251676,2.576731135,35932.21,0.35,101448.27,45622.06,7079.07,1647.8,4158.27,7670.19,638.23,1646.28,92.23,6810.24,1126.46,0.053618158,0.270684865
650,156.12,323.95,28.1,39.03,33.06,0.31,8.23,2.55,5.89,7,0.15,20,43194.55,0.8,34555.64,29488.78,8.92,0.060907451,0.022848052,0.014478488,0.023580911,0.543251676,2.576731135,35908.87,0.35,101500.34,45664.7,7122.84,1648.64,4160.55,7664.95,638.39,1647.11,92.28,6811.55,1126.85,0.053629686,0.27061138
