W/S,W/S max,check W/S max,AR,t/c,sweep25,M,lambda,WTO,CL_crociera,CD,E,T,S,b,check b,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_payload
550,633.4527129,VERO,11,0.1,35,0.82,0.31,85609.77275,0.433516733,0.025181754,17.2155099,23679.96431,155.6137315,41.37331321,FALSO,47478.54787,12369.53636,8211.217291,1719.745695,3461.299452,4597.965342,902.0642047,1670.686767,1372.570512,91.17273398,582.1068689,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17986.22488,22482.7811,20145
550,633.4527129,VERO,11,0.1,35,0.82,0.27,85360.49443,0.433516733,0.025222598,17.18763197,23646.39243,155.1625049,41.31328544,FALSO,47261.34549,12181.25929,8211.217291,1714.75902,3450.378189,4591.297499,900.8129631,1665.901534,1372.570512,90.90836423,582.0581897,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17954.14894,22442.68618,20145
550,633.4527129,VERO,11,0.1,35,0.82,0.23,85121.26457,0.433516733,0.025280556,17.1482275,23639.16639,154.7293535,41.25558008,FALSO,47043.83473,11986.51509,8211.217291,1709.972102,3439.894413,4589.862346,899.6100556,1661.307987,1372.570512,90.65458458,582.0477119,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17932.42984,22415.5373,20145
550,633.4527129,VERO,11,0.1,35,0.8,0.31,85525.08038,0.455463518,0.025755346,17.68423234,23659.47832,155.4598538,41.35285228,FALSO,47460.81817,12356.52859,8211.217291,1718.045134,3457.575072,4593.896506,901.6377182,1669.054902,1372.570512,91.08257837,582.0771642,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17919.26221,22399.07776,20145
550,633.4527129,VERO,11,0.1,35,0.8,0.27,85277.44929,0.455463518,0.025798339,17.65476155,23626.30735,155.011609,41.29319192,FALSO,47244.27889,12168.6881,8211.217291,1713.091413,3446.725981,4587.308461,900.3941083,1664.301291,1372.570512,90.81995562,582.0290663,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17888.1704,22360.213,20145
550,633.4527129,VERO,11,0.1,35,0.8,0.23,85040.8971,0.455463518,0.025860012,17.61265675,23619.73081,154.5832912,41.23610315,FALSO,47027.73013,11974.53859,8211.217291,1708.357913,3436.359198,4586.002338,899.2040289,1659.759004,1372.570512,90.56900797,582.0195304,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17868.16697,22335.20872,20145
550,633.4527129,VERO,10,0.1,35,0.82,0.31,84656.5048,0.433516733,0.025943042,16.71032789,24427.02565,153.8888935,39.22867491,FALSO,46354.39884,11220.71877,8211.217291,1700.683864,3419.552362,4746.416108,857.3100608,1652.394955,1372.570512,90.1621664,583.1901079,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18157.10596,22696.38245,20145
550,633.4527129,VERO,10,0.1,35,0.82,0.27,84453.94115,0.433516733,0.025980931,16.68595846,24402.93881,153.5219736,39.1818802,FALSO,46176.79487,11065.95782,8211.217291,1696.628894,3410.67163,4741.627547,856.3323726,1648.503789,1372.570512,89.94719118,583.155182,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18132.14628,22665.18285,20145
550,669.7000213,VERO,11,0.1,30,0.82,0.31,84456.37097,0.433516733,0.025985945,16.68273898,22836.29295,153.5254117,41.09476279,FALSO,46176.39297,11385.31352,8211.217291,1696.66689,3410.754844,4430.488465,849.8257994,1648.54025,1372.570512,89.94920555,580.8835455,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18134.978,22668.7225,20145
550,669.7000213,VERO,11,0.1,30,0.8,0.31,83847.56901,0.455463518,0.02601859,17.50531111,22681.99541,152.4211244,40.94670156,FALSO,46009.78186,11296.80234,8211.217291,1684.462997,3384.027291,4399.878917,846.8984327,1636.829344,1372.570512,89.30221324,580.659814,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17692.78715,22115.98394,20145
550,669.7000213,VERO,11,0.1,30,0.82,0.27,84245.26334,0.433516733,0.026023265,16.65881377,22811.91145,153.1429984,41.04354983,FALSO,45992.44965,11225.01671,8211.217291,1692.440697,3401.499123,4425.651247,848.8133039,1644.484778,1372.570512,89.72515293,580.8481923,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18107.8137,22634.76712,20145
550,633.4527129,VERO,10,0.1,35,0.82,0.23,84262.93262,0.433516733,0.026035776,16.65080924,24405.53146,153.1759021,39.1376931,FALSO,46000.19177,10905.83231,8211.217291,1692.804329,3402.295507,4742.142969,855.4091186,1644.83372,1372.570512,89.74443094,583.1589413,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18117.74085,22647.17606,20145
550,669.7000213,VERO,11,0.1,30,0.8,0.27,83640.99472,0.455463518,0.0260579,17.47890336,22658.54402,152.0468416,40.89639664,FALSO,45828.23273,11138.31746,8211.217291,1680.326658,3374.968365,4395.227178,845.9037317,1632.860095,1372.570512,89.08292419,580.6258095,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17667.76199,22084.70248,20145
550,669.7000213,VERO,11,0.1,30,0.82,0.23,84043.9684,0.433516733,0.026076718,16.624666,22812.22046,152.7783044,40.99465024,FALSO,45808.55428,11058.96485,8211.217291,1688.410326,3392.672271,4425.712553,847.8464924,1640.617218,1372.570512,89.51148185,580.8486403,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18090.41412,22613.01765,20145
550,669.7000213,VERO,11,0.1,30,0.8,0.23,83445.10388,0.455463518,0.02611482,17.44080626,22659.85155,151.6918489,40.84862712,FALSO,45646.98943,10974.24539,8211.217291,1676.4035,3366.376327,4395.48653,844.9591146,1629.095417,1372.570512,88.87493703,580.6277054,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17653.11444,22066.39306,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.31,84332.19445,0.433516733,0.026457678,16.38529038,23371.87715,153.3017202,41.06481367,FALSO,45851.1256,10917.55467,8211.217291,1694.194791,3405.340737,4536.785783,895.6328718,1646.168014,1372.570512,89.81814663,581.6601425,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18336.06884,22920.08605,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.27,84141.70452,0.433516733,0.02649486,16.36229557,23353.14996,152.9565962,41.01856358,FALSO,45684.0539,10771.22203,8211.217291,1690.380697,3396.987548,4533.067749,894.6685069,1642.507993,1372.570512,89.61594151,581.6329881,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18312.65062,22890.81327,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.23,83963.10061,0.433516733,0.026548964,16.3289509,23360.9887,152.6329544,40.97514489,FALSO,45518.27105,10619.80867,8211.217291,1686.80401,3389.154303,4534.624015,893.7631362,1639.07579,1372.570512,89.42632259,581.6443543,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18299.82956,22874.78695,20145
550,633.4527129,VERO,10,0.1,35,0.8,0.31,84618.00901,0.455463518,0.026582866,17.13372497,24418.23883,153.8187602,39.21973485,FALSO,46350.94853,11215.52218,8211.217291,1699.908794,3417.854893,4744.669234,857.123279,1651.651195,1372.570512,90.1210759,583.177367,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18122.06048,22652.5756,20145
