W_S,W_S_max,AR,t_c,sweep25,M,lambda,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,Cdw,E_crociera,T,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,maintenance_cost,DOC,PREE
600,641.2318448,9,0.1,25,0.76,0.23,82680.96033,137.7628138,35.2117214,7.200005823,24.79730648,34.44070344,0.555637768,0.034711137,0.021853796,0.012347253,0.000510088,16.00747833,25322.74517,43329.56042,8303.287862,8211.217291,1454.803243,3332.367095,5310.619341,701.9509401,1455.847297,1372.570512,80.7140363,584.4889012,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19206.39991,24007.99989,16474.80994,20145,83.34487098,4866.135225,989.4571145,0.041545711,0.45854095
600,641.2318448,9,0.1,25,0.76,0.27,82779.10582,137.9263844,35.23261925,6.976827191,24.82674919,34.48159609,0.555637768,0.034656624,0.021853668,0.012292867,0.000510088,16.03265728,25294.4616,43426.1089,8397.848116,8211.217291,1456.530581,3336.685962,5304.403929,702.3492062,1457.55164,1372.570512,80.8098709,584.44789,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19207.99692,24009.99615,16476.5011,20145,83.45513654,4866.925165,990.4627266,0.041558451,0.458493885
600,641.2318448,9,0.1,25,0.76,0.31,82896.67074,138.1212993,35.2575055,6.767942727,24.86183388,34.53032484,0.555637768,0.034626365,0.021854407,0.01226187,0.000510088,16.04666757,25296.62896,43528.32055,8489.75613,8211.217291,1458.588923,3341.832438,5304.880199,702.8234687,1459.582579,1372.570512,80.92406989,584.4510327,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19223.35019,24029.18774,16489.8502,20145,83.583985,4869.223379,991.6909057,0.041583471,0.458122718
600,664.8523177,9,0.1,20,0.76,0.23,82203.59359,136.9747229,35.11086023,7.182100884,24.65545012,34.24368072,0.555637768,0.035108798,0.021877946,0.011908587,0.001322265,15.82616912,24719.75939,42808.63005,7979.167345,8211.217291,1446.480843,3311.558598,5178.205109,676.2338826,1447.635693,1372.570512,80.2523007,583.6145718,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19249.96354,24062.45442,16509.8768,20145,82.46140393,4867.459904,980.1478796,0.04148906,0.457567012
600,664.8523177,9,0.1,20,0.76,0.27,82289.77724,137.1145784,35.1287803,6.958973824,24.68062411,34.27864459,0.555637768,0.035057988,0.021879589,0.011856134,0.001322265,15.84910615,24689.29467,42894.76422,8064.991674,8211.217291,1447.957746,3315.251296,5171.520389,676.5638327,1449.092933,1372.570512,80.33424082,583.5703979,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19250.01302,24062.51628,16510.20862,20145,82.55787028,4868.016853,981.0184155,0.041499188,0.457557816
600,664.8523177,9,0.1,20,0.76,0.31,82396.63241,137.2918032,35.15147548,6.750268807,24.71252457,34.32295079,0.555637768,0.035030062,0.02188156,0.011826237,0.001322265,15.86174094,24689.15174,42987.52984,8148.869642,8211.217291,1449.829275,3319.930681,5171.489026,676.981693,1450.939548,1372.570512,80.43807528,583.5701907,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19264.10257,24080.12822,16522.45257,20145,82.67426256,4870.120232,982.1243033,0.041521958,0.457218743
600,612.7312104,9,0.1,30,0.8,0.23,83876.01841,139.7701649,35.46732982,7.245390735,25.15862969,34.94254123,0.501463086,0.033017956,0.021713073,0.010524703,0.000780181,15.18758721,26301.66842,44177.6866,8816.609215,8211.217291,1476.001278,3385.368623,5526.004921,738.2204613,1476.763126,1372.570512,81.89012591,585.9083399,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19553.3318,24441.66476,16729.67979,20145,87.01212073,5072.750525,1019.079205,0.041154745,0.451555266
600,612.7312104,9,0.1,30,0.76,0.23,83844.49768,139.7174299,35.46063831,7.244202451,25.14913739,34.92935749,0.555637768,0.034803162,0.021780879,0.012921574,0.000100708,15.96515212,26291.74486,44184.3418,8813.566388,8211.217291,1475.444386,3383.976222,5523.818957,738.0873114,1476.213648,1372.570512,81.85922895,585.8939507,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19515.15588,24393.94485,16739.10637,20145,84.77772059,4904.654346,1004.535605,0.041925989,0.451300974
600,612.7312104,9,0.1,30,0.8,0.27,84031.40954,140.0277255,35.49999338,7.022807316,25.2049906,35.00693138,0.501463086,0.03297809,0.021719565,0.010478345,0.000780181,15.20594672,26350.13566,44313.66302,8928.833266,8211.217291,1478.72117,3392.169189,5536.682034,738.8703968,1479.446809,1372.570512,82.04102844,585.9786174,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19572.74652,24465.93315,16746.54609,20145,87.20547705,5075.838855,1020.969053,0.041188376,0.451100481
600,612.7312104,9,0.1,30,0.76,0.27,83993.4273,139.9640551,35.49192156,7.021419011,25.19352992,34.99101378,0.555637768,0.034753215,0.021787848,0.012864659,0.000100708,15.9880967,26338.15429,44318.53092,8925.011744,8211.217291,1478.048798,3390.488051,5534.042477,738.7097872,1478.783387,1372.570512,82.00372449,585.9612444,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19529.89638,24412.37047,16752.04676,20145,84.962511,4907.087729,1006.362548,0.041956216,0.450952359
600,612.7312104,9,0.1,30,0.8,0.31,84190.86196,140.2924443,35.53353344,6.813963129,25.25263998,35.07311108,0.501463086,0.03295553,0.021723426,0.010451923,0.000780181,15.21635644,26399.94991,44445.5372,9036.294305,8211.217291,1481.516654,3399.158758,5547.657174,739.5377453,1482.205077,1372.570512,82.19612488,586.050848,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19600.32476,24500.40595,16770.28726,20145,87.39393508,5079.814255,1022.815123,0.041227705,0.450461872
600,612.7312104,9,0.1,30,0.76,0.31,84149.10011,140.222468,35.52467047,6.812485242,25.24004424,35.05561699,0.555637768,0.034724877,0.021791949,0.012832219,0.000100708,16.00114452,26386.7819,44449.3508,9032.000196,8211.217291,1480.77769,3397.31112,5544.755854,739.3614009,1481.47595,1372.570512,82.15512634,586.0317544,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19554.74931,24443.43663,16773.53389,20145,85.14381566,4910.581447,1008.159666,0.041993755,0.450374682
600,612.7312104,9,0.12,30,0.76,0.23,83055.06158,138.3857806,35.29124574,7.214124481,24.90944051,34.59644516,0.555637768,0.035629888,0.022107373,0.012921574,0.000600941,15.59471012,26068.45993,43259.19596,8005.16527,8211.217291,1461.381899,3348.815722,5474.647463,734.7163081,1462.338373,1372.570512,81.07902718,585.5701876,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19650.86562,24563.58203,16850.76239,20145,83.53694256,4913.273011,992.4009199,0.041901042,0.448310577
600,612.7312104,9,0.12,30,0.76,0.27,83166.49536,138.590731,35.31736936,6.991400111,24.94633157,34.64768274,0.555637768,0.035577263,0.022111663,0.012864659,0.000600941,15.61777725,26079.72491,43361.98953,8095.11111,8211.217291,1463.546216,3354.227171,5477.127592,735.2362286,1464.473877,1372.570512,81.1991058,585.5865218,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19659.50583,24574.38228,16858.46318,20145,83.66998609,4914.859235,993.6831328,0.041921394,0.448105792
600,612.7312104,9,0.12,30,0.76,0.31,83290.04619,138.79585,35.34349516,6.782277719,24.983253,34.69896251,0.555637768,0.035551972,0.022118812,0.012832219,0.000600941,15.62888732,26118.32381,43466.29457,8180.502254,8211.217291,1465.712315,3359.643076,5485.626132,735.7561755,1466.611139,1372.570512,81.31928328,585.6424902,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19678.75162,24598.43952,16875.10773,20145,83.81505666,4917.585693,995.1204722,0.041950937,0.447663809
